"","date","new_cases","total_cases"
"1",2020-02-20,"55",55
"2",2020-02-21,"1",56
"3",2020-02-23,"1",57
"4",2020-02-24,"3",60
"5",2020-02-25,"4",64
"6",2020-02-26,"2",66
"7",2020-02-27,"2",68
"8",2020-02-28,"4",72
"9",2020-02-29,"5",77
"10",2020-03-01,"7",84
"11",2020-03-02,"8",92
"12",2020-03-03,"8",100
"13",2020-03-04,"7",107
"14",2020-03-05,"4",111
"15",2020-03-06,"14",125
"16",2020-03-07,"8",133
"17",2020-03-08,"10",143
"18",2020-03-09,"14",157
"19",2020-03-10,"13",170
"20",2020-03-11,"14",184
"21",2020-03-12,"16",200
"22",2020-03-13,"32",232
"23",2020-03-14,"19",251
"24",2020-03-15,"25",276
"25",2020-03-16,"33",309
"26",2020-03-17,"36",345
"27",2020-03-18,"27",372
"28",2020-03-19,"22",394
"29",2020-03-20,"31",425
"30",2020-03-21,"30",455
"31",2020-03-22,"36",491
"32",2020-03-23,"29",520
"33",2020-03-24,"37",557
"34",2020-03-25,"38",595
"35",2020-03-26,"37",632
"36",2020-03-27,"35",667
"37",2020-03-28,"28",695
"38",2020-03-29,"19",714
"39",2020-03-30,"25",739
"40",2020-03-31,"22",761
"41",2020-04-01,"18",779
"42",2020-04-02,"18",797
"43",2020-04-03,"21",818
"44",2020-04-04,"16",834
"45",2020-04-05,"12",846
"46",2020-04-06,"22",868
"47",2020-04-07,"20",888
"48",2020-04-08,"19",907
"49",2020-04-09,"13",920
"50",2020-04-10,"16",936
"51",2020-04-11,"15",951
"52",2020-04-12,"11",962
"53",2020-04-13,"26",988
"54",2020-04-14,"40",1028
"55",2020-04-15,"36",1064
"56",2020-04-16,"49",1113
"57",2020-04-17,"28",1141
"58",2020-04-18,"16",1157
"59",2020-04-19,"21",1178
"60",2020-04-20,"38",1216
"61",2020-04-21,"23",1239
"62",2020-04-22,"42",1281
"63",2020-04-23,"23",1304
"64",2020-04-24,"38",1342
"65",2020-04-25,"20",1362
"66",2020-04-26,"18",1380
"67",2020-04-27,"26",1406
"68",2020-04-28,"21",1427
"69",2020-04-29,"13",1440
"70",2020-04-30,"27",1467
"71",2020-05-01,"29",1496
"72",2020-05-02,"17",1513
"73",2020-05-03,"16",1529
"74",2020-05-04,"27",1556
"75",2020-05-05,"27",1583
"76",2020-05-06,"28",1611
"77",2020-05-07,"27",1638
"78",2020-05-08,"20",1658
"79",2020-05-09,"16",1674
"80",2020-05-10,"19",1693
"81",2020-05-11,"23",1716
"82",2020-05-12,"29",1745
"83",2020-05-13,"28",1773
"84",2020-05-14,"32",1805
"85",2020-05-15,"47",1852
"86",2020-05-16,"23",1875
"87",2020-05-17,"21",1896
"88",2020-05-18,"41",1937
"89",2020-05-19,"40",1977
"90",2020-05-20,"41",2018
"91",2020-05-21,"73",2091
"92",2020-05-22,"33",2124
"93",2020-05-23,"18",2142
"94",2020-05-24,"31",2173
"95",2020-05-25,"35",2208
"96",2020-05-26,"39",2247
"97",2020-05-27,"38",2285
"98",2020-05-28,"39",2324
"99",2020-05-29,"31",2355
"100",2020-05-30,"20",2375
"101",2020-05-31,"25",2400
"102",2020-06-01,"54",2454
