"","date","hospitalized_scc","hospitalized_smc","hospitalized"
"1",2020-03-27,125,0,125
"2",2020-03-28,141,0,141
"3",2020-03-29,150,46,196
"4",2020-03-30,154,56,210
"5",2020-03-31,149,60,209
"6",2020-04-01,152,57,209
"7",2020-04-02,165,62,227
"8",2020-04-03,165,65,230
"9",2020-04-04,168,66,234
"10",2020-04-05,167,69,236
"11",2020-04-06,183,68,251
"12",2020-04-07,189,63,252
"13",2020-04-08,150,66,216
"14",2020-04-09,151,58,209
"15",2020-04-10,155,56,211
"16",2020-04-11,140,54,194
"17",2020-04-12,139,46,185
"18",2020-04-13,148,57,205
"19",2020-04-14,138,55,193
"20",2020-04-15,141,53,194
"21",2020-04-16,137,54,191
"22",2020-04-17,149,51,200
"23",2020-04-18,143,49,192
"24",2020-04-19,143,53,196
"25",2020-04-20,156,56,212
"26",2020-04-21,144,53,197
"27",2020-04-22,137,50,187
"28",2020-04-23,143,53,196
"29",2020-04-24,131,49,180
"30",2020-04-25,126,47,173
"31",2020-04-26,125,53,178
"32",2020-04-27,115,52,167
"33",2020-04-28,116,50,166
"34",2020-04-29,109,51,160
"35",2020-04-30,104,53,157
"36",2020-05-01,93,48,141
"37",2020-05-02,94,48,142
"38",2020-05-03,97,47,144
"39",2020-05-04,91,45,136
"40",2020-05-05,80,44,124
"41",2020-05-06,76,43,119
"42",2020-05-07,72,37,109
"43",2020-05-08,73,33,106
"44",2020-05-09,66,32,98
"45",2020-05-10,66,29,95
"46",2020-05-11,63,31,94
"47",2020-05-12,56,30,86
"48",2020-05-13,56,34,90
"49",2020-05-14,50,32,82
"50",2020-05-15,47,30,77
"51",2020-05-16,49,31,80
"52",2020-05-17,45,32,77
"53",2020-05-18,46,41,87
"54",2020-05-19,37,41,78
"55",2020-05-20,34,37,71
"56",2020-05-21,35,37,72
"57",2020-05-22,39,40,79
"58",2020-05-23,33,39,72
"59",2020-05-24,34,39,73
"60",2020-05-25,31,44,75
"61",2020-05-26,35,45,80
"62",2020-05-27,27,33,60
"63",2020-05-28,27,39,66
"64",2020-05-29,26,37,63
"65",2020-05-30,29,44,73
"66",2020-05-31,26,46,72
"67",2020-06-01,24,40,64
"68",2020-06-02,27,42,69
"69",2020-06-03,33,43,76
"70",2020-06-04,35,35,70
"71",2020-06-05,38,36,74
"72",2020-06-06,39,37,76
"73",2020-06-07,38,37,75
"74",2020-06-08,44,34,78
"75",2020-06-09,41,31,72
"76",2020-06-10,40,29,69
"77",2020-06-11,39,26,65
"78",2020-06-12,43,22,65
"79",2020-06-13,35,18,53
"80",2020-06-14,38,18,56
"81",2020-06-15,37,17,54
"82",2020-06-16,32,17,49
"83",2020-06-17,36,14,50
"84",2020-06-18,34,15,49
"85",2020-06-19,38,15,53
"86",2020-06-20,38,15,53
"87",2020-06-21,38,18,56
"88",2020-06-22,48,19,67
"89",2020-06-23,56,22,78
"90",2020-06-24,65,24,89
"91",2020-06-25,68,22,90
"92",2020-06-26,66,20,86
"93",2020-06-27,76,23,99
"94",2020-06-28,78,27,105
"95",2020-06-29,85,33,118
"96",2020-06-30,81,40,121
"97",2020-07-01,81,45,126
"98",2020-07-02,91,52,143
"99",2020-07-03,83,56,139
"100",2020-07-04,86,46,132
"101",2020-07-05,87,45,132
"102",2020-07-06,88,48,136
"103",2020-07-07,98,53,151
"104",2020-07-08,106,51,157
"105",2020-07-09,116,47,163
"106",2020-07-10,118,48,166
"107",2020-07-11,120,50,170
"108",2020-07-12,129,51,180
"109",2020-07-13,144,56,200
"110",2020-07-14,140,59,199
"111",2020-07-15,145,56,201
"112",2020-07-16,146,61,207
"113",2020-07-17,151,60,211
"114",2020-07-18,151,67,218
"115",2020-07-19,156,68,224
"116",2020-07-20,167,71,238
"117",2020-07-21,169,72,241
"118",2020-07-22,173,70,243
"119",2020-07-23,176,68,244
"120",2020-07-24,178,62,240
"121",2020-07-25,175,72,247
"122",2020-07-26,174,70,244
"123",2020-07-27,174,71,245
"124",2020-07-28,185,64,249
"125",2020-07-29,177,64,241
"126",2020-07-30,178,58,236
"127",2020-07-31,182,55,237
"128",2020-08-01,183,55,238
"129",2020-08-02,181,55,236
"130",2020-08-03,169,58,227
"131",2020-08-04,172,54,226
"132",2020-08-05,169,49,218
"133",2020-08-06,169,45,214
"134",2020-08-07,170,42,212
"135",2020-08-08,172,45,217
"136",2020-08-09,177,39,216
"137",2020-08-10,180,41,221
"138",2020-08-11,166,47,213
"139",2020-08-12,169,49,218
"140",2020-08-13,176,49,225
"141",2020-08-14,167,58,225
"142",2020-08-15,173,57,230
"143",2020-08-16,172,58,230
"144",2020-08-17,171,57,228
"145",2020-08-18,166,53,219
"146",2020-08-19,162,53,215
"147",2020-08-20,153,56,209
"148",2020-08-21,155,58,213
"149",2020-08-22,158,56,214
"150",2020-08-23,157,57,214
"151",2020-08-24,153,61,214
